air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,temperature,humidity,rainfall
0.0625027645693627,-0.7004557613137872,-0.2186206231922846,-0.0818130552246609,-0.53089156737027,0.0625027645693627,-0.3443669652188605,0.0
0.8017073451629393,1.0220533701980568,0.2528341030045387,-0.273624131593777,0.8471269313146671,0.8017073451629393,-0.8907551122556202,0.0
-0.5571612800333312,-0.6274098426330532,0.1189486420008634,1.9052554046114332,-0.6373195169771191,-0.5571612800333312,-0.0362357551857968,0.0
0.2129794762929402,0.6140167253981581,-0.4442989545987659,0.4388110242394327,0.6554072088325567,0.2129794762929402,0.0774383839173772,0.0
-0.5502453871080807,0.097673520874213,-0.4954013919422615,-0.8194107461730169,0.7350767649244494,-0.5502453871080807,-0.9353992555879836,0.0
0.7957229887901992,0.5330760216116696,-0.5371737830673254,-0.3161024582630535,0.4359768955941006,0.7957229887901992,0.7917470923856403,0.0
-0.7492441707959943,-1.3113710302886268,0.7777003221434132,0.1692437387633439,-0.3621047142627397,-0.7492441707959943,0.0259921460636446,0.0
-0.3376853716100389,-0.1778934090766247,-0.457443757589195,0.3635537176258573,-0.2513296856384617,-0.3376853716100389,-0.3409106463826444,0.0
-0.2190235095996263,0.6045504249269995,2.216036894583869,0.9345723499706408,0.6939957123468523,-0.2190235095996263,0.8424178279215875,0.0
-0.5043495960806044,0.0523706235962052,1.669761537403082,0.8082938398280978,-0.2462980180048916,-0.5043495960806044,-0.058819389516121,0.0
-0.157040458604547,-0.9192387559762624,-0.0756163718926452,-0.6738770811109599,-0.5336222604133418,-0.157040458604547,0.4435379680000511,0.0
-0.535871220589806,-0.3804608395835542,-0.4362885296688027,0.1815504439400012,0.2448456394042806,-0.535871220589806,-0.6559920711901956,0.0
0.2700873405101966,-0.3669391458425919,0.6024180772788263,-0.3811498409423856,-0.6801015541296549,0.2700873405101966,0.4393460794434711,0.0
0.9616535006094902,-0.0836298444357603,-0.0546165210545821,-0.7335850811968929,0.0126663849931514,0.9616535006094902,0.4383659137223086,0.0
0.0294122800688094,0.055402171286588,0.4335833474998137,-0.3394669261718457,0.2875332484436417,0.0294122800688094,0.6371380535966376,0.0
